"","Country","Year","pop"
"746","Seychelles",2020,98462
"747","Seychelles",2021,99258
"748","Seychelles",2022,119878
"749","Seychelles",2023,107660
"750","Seychelles",2024,108263
"751","Sierra Leone",2020,8233970
"752","Sierra Leone",2021,8420641
"753","Sierra Leone",2022,8605718
"754","Sierra Leone",2023,8791092
"755","Sierra Leone",2024,8977972
"756","Singapore",2020,5685807
"757","Singapore",2021,5453566
"758","Singapore",2022,5637022
"759","Singapore",2023,6014723
"760","Singapore",2024,6052709
"761","Slovenia",2020,2102419
"762","Slovenia",2021,2108079
"763","Slovenia",2022,2111986
"764","Slovenia",2023,2119675
"765","Slovenia",2024,2118965
"766","Solomon Islands",2020,691191
"767","Solomon Islands",2021,707851
"768","Solomon Islands",2022,724273
"769","Solomon Islands",2023,740424
"770","Solomon Islands",2024,756673
"771","Somalia",2020,16537016
"772","Somalia",2021,17065581
"773","Somalia",2022,17597511
"774","Somalia",2023,18143378
"775","Somalia",2024,18706922
"776","South Africa",2020,58801927
"777","South Africa",2021,59392255
"778","South Africa",2022,59893885
"779","South Africa",2023,60414495
"780","South Africa",2024,61020221
"781","South Sudan",2020,10606227
"782","South Sudan",2021,10748272
"783","South Sudan",2022,10913164
"784","South Sudan",2023,11088796
"785","South Sudan",2024,11277092
"786","Spain",2020,47365655
"787","Spain",2021,47415794
"788","Spain",2022,47778340
"789","Spain",2023,47519628
"790","Spain",2024,47473373
"791","Sri Lanka",2020,21919000
"792","Sri Lanka",2021,22156000
"793","Sri Lanka",2022,22181000
"794","Sri Lanka",2023,21893579
"795","Sri Lanka",2024,21949268
"796","Sudan",2020,44440486
"797","Sudan",2021,45657202
"798","Sudan",2022,46874204
"799","Sudan",2023,48109006
"800","Sudan",2024,49358228
"801","Suriname",2020,607065
"802","Suriname",2021,612985
"803","Suriname",2022,618040
"804","Suriname",2023,623236
"805","Suriname",2024,628785
"806","Sweden",2020,10353442
"807","Sweden",2021,10415811
"808","Sweden",2022,10486941
"809","Sweden",2023,10612086
"810","Sweden",2024,10673669
"811","Switzerland",2020,8638167
"812","Switzerland",2021,8704546
"813","Switzerland",2022,8775760
"814","Switzerland",2023,8796669
"815","Switzerland",2024,8851431
"816","Tajikistan",2020,9543207
"817","Tajikistan",2021,9750064
"818","Tajikistan",2022,9952787
"819","Tajikistan",2023,10143543
"820","Tajikistan",2024,10331513
"821","Tanzania",2020,61704518
"822","Tanzania",2021,63588334
"823","Tanzania",2022,65497748
"824","Tanzania",2023,67438106
"825","Tanzania",2024,69419073
"826","Thailand",2020,71475664
"827","Thailand",2021,71601103
"828","Thailand",2022,71697030
"829","Thailand",2023,71801279
"830","Thailand",2024,71885799
"831","Timor-Leste",2020,1299995
"832","Timor-Leste",2021,1320942
"833","Timor-Leste",2022,1341296
"834","Timor-Leste",2023,1360596
"835","Timor-Leste",2024,1379883
"836","Togo",2020,8442580
"837","Togo",2021,8644829
"838","Togo",2022,8848699
"839","Togo",2023,9053799
"840","Togo",2024,9260864
"841","Tonga",2020,105254
"842","Tonga",2021,106017
"843","Tonga",2022,106858
"844","Tonga",2023,107773
"845","Tonga",2024,108683
"846","Trinidad and Tobago",2020,1518147
"847","Trinidad and Tobago",2021,1525663
"848","Trinidad and Tobago",2022,1531044
"849","Trinidad and Tobago",2023,1534937
"850","Trinidad and Tobago",2024,1538200
"851","Tunisia",2020,12161723
"852","Tunisia",2021,12262946
"853","Tunisia",2022,12356117
"854","Tunisia",2023,12458223
"855","Tunisia",2024,12564689
"856","Turkmenistan",2020,6250438
"857","Turkmenistan",2021,6341855
"858","Turkmenistan",2022,6430770
"859","Turkmenistan",2023,6516100
"860","Turkmenistan",2024,6598071
"861","Turks and Caicos Islands",2020,44276
"862","Turks and Caicos Islands",2021,45114
"863","Turks and Caicos Islands",2022,45703
"864","Turks and Caicos Islands",2023,46062
"865","Turks and Caicos Islands",2024,46431
"866","Tuvalu",2020,11069
"867","Tuvalu",2021,11204
"868","Tuvalu",2022,11312
"869","Tuvalu",2023,11396
"870","Tuvalu",2024,11478
"871","Uganda",2020,44404611
"872","Uganda",2021,45853778
"873","Uganda",2022,47249585
"874","Uganda",2023,48582334
"875","Uganda",2024,49924252
"876","Ukraine",2020,44132049
"877","Ukraine",2021,43822901
"878","Ukraine",2022,3.8e+07
"879","Ukraine",2023,36744634
"880","Ukraine",2024,37937821
"881","United Arab Emirates",2020,9287289
"882","United Arab Emirates",2021,9365145
"883","United Arab Emirates",2022,9441129
"884","United Arab Emirates",2023,9516871
"885","United Arab Emirates",2024,9591853
"886","United Kingdom",2020,67081234
"887","United Kingdom",2021,67026292
"888","United Kingdom",2022,66971395
"889","United Kingdom",2023,67736802
"890","United Kingdom",2024,67961439
"891","United States",2020,331511512
"892","United States",2021,332031554
"893","United States",2022,333287557
"894","United States",2023,339996563
"895","United States",2024,341814420
